,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
232,61C-R337,7,CHI:        and cameras [sometimes].,F,,
233,61C-R364,Weighlifter,,,,
234,61C-R365,1,"CHI:        the next one is a big, [guy after the bunny].",P,,"['next', 'big']"
235,61C-R395,3,CHI:        a man.,L,,
236,61C-R397,4,CHI:        uh he has weights behind him.,P,,
237,61C-R398,5,CHI:        and right now he doesn't have weights in his hand.,P,,
238,61C-R399,6,"CHI:        he's do, this over his head like [like that].",P,,
239,61C-R404,8,CHI:        uh it's a strong man.,L,strong,['strong']
240,61C-R405,9,CHI:        look at his muscles going just like that.,P,,
241,61C-R407,10,CHI:        and he just has half on to make people think he's tough.,F,,['tough']
242,3C-R114,Witch,,,,
243,3C-R116,1,CHI:        a witch.,L,,
244,3C-R118,2,"CHI:        witches have cats, and sin, cats, since cats can't be alone sometimes witches take their cats with them when they go outside and fly on their broomsticks.",F+P+L,,['alone']
245,3C-R119,3,CHI:        and they have a hat.,P,,
246,3C-R120,4,CHI:        but witches have green skin and they're monsters.,P+L+F,green,['green']
247,3C-R121,5,CHI:        that's all I know about it.,I,,
248,3C-R123,Pilot,,,,
249,3C-R125,1,CHI:        that's a pilot.,L,,
250,3C-R127,2,CHI:        um pilots sometimes you don't know what the buttons are for but I know that airp- I know about this pilot.,F+I+L,,
251,3C-R128,3,CHI:        pilots can know what the buttons are for because they drive the airplane.,F+P+L,,
252,3C-R129,4,CHI:        that's all I know.,I,,
253,3C-R206,Football Player,,,,
254,3C-R208,1,"CHI:        um, a girl that plays football.",L,,
255,3C-R210,2,"CHI:        girls that play football it's hard to throw it very far it's <just that> [?] every day you play football you get you yes get more muscles and muscles until you until you can throw it &=pretends:throw very far ⌈ to your⌉, all the way to the person that is your team.",I+F+L,,"['hard', 'more']"
256,3C-R212,3,CHI:        or that is not your team.,F,,
257,3C-R213,4,CHI:        but that's all I know about it.,I,,
258,3C-R215,Teacher,,,,
259,3C-R216,1,CHI:        okay let's try oh that's a teacher.,L,,
260,3C-R218,2,CHI:        teachers teach you things.,P+L+F,,
261,3C-R220,3,"CHI:        and teachers, teachers, teachers, teach you things at schools.",F+L,,
262,3C-R221,4,"CHI:        kindergarten- some teachers, some teacher- teachers live in kindergarten.",F+T+L,,
263,3C-R222,5,"CHI:        and, some of them, some of them um some teachers live in preschool.",F+T+L,,
264,3C-R223,6,CHI:        third grade.,F,,['third']
265,3C-R224,7,CHI:        that's all I know.,I,,
266,3C-R280,Clown,,,,
267,3C-R281,1,CHI:        oh that's a clown oh &=waves:arms!,L,,
268,3C-R283,2,"CHI:        but mom, I mean, do you know this?",I,,
269,3C-R285,3,"CHI:        um my dad he told my mo- I hear him say to my mom that when I was afraid of monsters, he heard me say that so he told my mom this.",I,,['afraid']
270,3C-R286,4,CHI:        when he was a boy he just woke up when he was sleeping and he saw a picture in his room and it was a picture of a clown.,I+L,,
271,3C-R288,5,"CHI:        it, it, it scared him.",I,,
272,3C-R293,7,CHI:        that's all I know.,I,,
273,3C-R296,10,CHI:        and this is a cool trick that a clown can do.,I+F+L,,['cool']
274,3C-R298,11,CHI:        juggle &=pretends:juggle.,F,,
275,3C-R300,12,CHI:        but I don't know how to juggle.,I+F,,
276,3C-R302,13,CHI:        daddy can just do it with one ball.,I+F,,
277,3C-R304,14,CHI:        it's easy to do it with one ball.,I+F,,['easy']
278,3C-R305,15,CHI:        it's hard for me to do it with one ball.,I+F,,['hard']
279,3C-R306,16,CHI:        it's hard for me to do it with six balls too.,I+F,,['hard']
280,3C-R308,17,"CHI:        Arthur but, I know a cartoon and it's called Arthur and Arthur he can juggle just like a clown but he's not a clown.",I+T+F+L,,
281,3C-R310,18,CHI:        he can juggle six balls.,I+F,,
282,4C-R20,Witch,,,,
283,4C-R23,1,CHI:        I don't know about this one.,I,,
284,4C-R26,2,CHI:        no about this one.,I,,
285,4C-R111,Teacher,,,,
286,4C-R113,1,CHI:        a teacher.,L,,
287,4C-R117,3,CHI:        can you please tell me about the teacher?,L,,
288,4C-R125,7,CHI:        a teacher.,L,,
